Found!ဂတိ	ကတိ
Found!ထဘိ	ထဘီ
Found!ထရန်ံ	ထရန်ပ်
Found!ထားပီး	ထားပြီး
Found!ထား၇တာ	ထားရတာ
Found!ထူးထောင်ရေး	ထူထောင်ရေး
Found!ထဲမှာ့	ထဲမှာ
Found!ထိုးဖောက် ခြငး် 	ထိုးဖောက် ခြင်း
Found!ထက်ဆာရင်	ထက်စာရင်
Found!ထောက်ခံထာပါတယ်	ထောက်ခံထားပါတယ်
Found!ထင်ရပေမဲ့	ထင်ရပေမယ့်
Found!ထာင်ကျော်ရှိ	ထောင်ကျော်ရှိ
Found!ထောင်ဒါဏ်	ထောင်ဒဏ်
Found!ထိ်ုင်း	ထိုင်း
Found!ထည် ့ထားသည် 	ထည့်ထားသည် 
Found!ထုတ်ထာတာ	ထုတ်ထားတာ
Found!ထုန်ပြန်လိုက်တယ်	ထုတ်ပြန်လိုက်တယ်
Found!ထုတ်ဖေါ်	ထုတ်ဖော်
Found!ထုတ်လုပ်နိူင်ပါသေးတယ်	ထုတ်လုပ်နိုင်ပါသေးတယ်
Found!ထိန်းကြောင်း	ထိန်းကျောင်း
Found!ထိန်းချုပ်နိ်ုင်တာ	ထိန်းချုပ်နိုင်တာ
Found!ထိန်းချုပ်နိ်ုင်တာမျိုး	ထိန်းချုပ်နိုင်တာမျိုး
