Found!ကလဝိကင််	ကလဝိကင်
Found!ကြည့်လိ်ုက်လို.	ကြည့်လိုက်လို့
Found!ကြုံကြိုက်တုံး	ကြုံကြိုက်တုန်း
Found!ကွန်ခရစ်တုံး	ကွန်ကရစ်တုံး
Found!ကျနော်တို့ကို	ကျွန်တော်တို့ကို
Found!ကျွန်တော်တို ့ကို	ကျွန်တော်တို့ကို
Found!ကျနော်တို	ကျွန်တော်တို့
Found!ကျနော်တို့	ကျွန်တော်တို့
Found!ကျနော်တို့	ကျွန်တော်တို့
Found!ကျနော်တိုမြင့်တွေတာ ့	ကျွန်တော်တို့မြင်တွေ့တာ
Found!ကျနော်တိုမြင့်တွေတာ ့စောင့်ကြည့်တာ	ကျွန်တော်တို့ မြင်တွေ့တာ စောင့်ကြည့်တာ
Found!ကျွမ် းကျင် တယ်	ကျွမ်းကျင် တယ်
Found!ကြွမ်းကျင်သူများ	ကျွမ်းကျင်သူများ
Found!ခများတို ့	ခဗျားတို့
Found!ခများတို ့	ခဗျားတို့
Found!ခါးချိတ်လိ်ု့	ခါးချိတ်လို့
Found!၂၀၁၄ာခုနှစ် 	၂၀၁၄ ခုနှစ် 
Found!ခိုလုံခဲ့ရတာ	ခိုလှုံခဲ့ရတာ
Found!ခက်ခဲလွမ်းပါတယ်	ခက်ခဲလွန်းပါတယ်
Found!ခက်ညံညံ	ခက်ညံ့ညံ့
Found!ခင် ညွန် ့	ခင် ညွန့်
Found!ခေါင်းပြူကြည့်ကြအုန်	ခေါင်းပြူကြည့်ကြအုံး
Found!ခိုင်မလာခဲ့	ခိုင်မလာခဲ့
Found!ခုတ်ထည့်လိုပ်မယ်	ခုတ်ထည့်လိုက်မယ်
Found!ခန္ဓာကိ်ုယ်	ခန္ဓာကိုယ်
Found!ချို ့ယွင်းချက်	ချို့ယွင်းချက်
Found!ချိုးဖေါက်တာ	ချိုးဖောက်တာ
Found!ချစ်ခွန်းချိိုသာ	ချစ်ခွန်းချိုသာ
Found!ချုပ်ကိ်ုင်တယ်	ချုပ်ကိုင်တယ်
Found!ရ၇ ခြေမြန်တပ်မ	၇၇ ခြေမြန်တပ်မ
Found!ခွေဘေးမဲ့ခြံကြီး	ခွေးဘေးမဲ့ခြံကြီး
Found!ခွဲပေးမာလဲ	ခွဲပေးမှာလဲ
Found!ဂရုစိ်ုက်	ဂရုစိုက်
Found!ဂရံတိီကဒ်ပါ	ဂရံတီကဒ်ပါ
Found!ဂုဏယူချင်ရင် 	ဂုဏ်ယူချင်ရင် 
Found!ဂုဏ်လည်ယူပါတယ်	ဂုဏ်လည်းယူပါတယ်
Found!ဂျင်းထည့်တယ်ကောင်	ဂျင်းထည့်တဲ့ကောင်
Found!ငလျင်�လှုပ်�တယ်�	ငလျင်လှုပ်တယ်
Found!ငယ်ငယ်တုံးက	ငယ်ငယ်တုန်းက
Found!ယေ်သေးတယ်လေ	ငယ်သေးတယ်လေ
Found!ညည်းငွေ့ဖို့	ငြီးငွေ့ဖို့
Found!ငွေရှာလာသည် ့	ငွေရှာလာသည့်
Found!ဌားဝတ်လိုက်ရုံပေါ့	ငှားဝတ်လိုက်ရုံပေါ့
Found!စကားပြောရမည် ့ 	စကားပြောရမည့်
Found!စာတိုကုူးကြတာဖြစ်လို့ 	စာတိုကူးကြတာဖြစ်လို့ 
Found!စာရင်းမှာမှာ	စာရင်းမှာ
Found!စာသင်မဲကိစ္စ	စာသင်မဲ့ကိစ္စ
Found!စားကြပါအူး	စားကြပါဦး
Found!စားလိုးရသည်	စားလို့ရသည်
Found!စီစဉ်ပေးနိူင်	စီစဉ်ပေးနိုင်
Found!စီးနှင် းသူ 	စီးနှင်းသူ 
Found!စီးပွါးရေးဆိုင်ရာ	စီးပွားရေးဆိုင်ရာ
Found!စံချိန်စံညွန်း 	စံချိန်စံညွှန်း
Found!စိုးရိမ်ကြောင့်ကျ	စိုးရိမ်ကြောင့်ကြ
Found!စက်မူဇုံ	စက်မှုဇုန်
Found!စောင့်ရှောက်နိူင်ပါစေကြောင်း	စောင့်ရှောက်နိုင်ပါစေကြောင်း
Found!စောင် ့လိုက်	စောင့်လိုက်
Found!စ်ုင်းမော်ခမ်း	စိုင်းမော်ခမ်း
Found!စစ်ဗိ်ုလ်ချုပ်	စစ်ဗိုလ်ချုပ်
Found!စစ်ဘေးဒုက္ခသည်စခမ်း	စစ်ဘေးဒုက္ခသည်စခန်း
Found!စစ်ရေးိပြ	စစ်ရေးပြ
Found!စဥ်းစားကြည့်ကြပါ	စဉ်းစားကြည့်ကြပါ
Found!စဥ်းစားကြည့်နေတာ	စဉ်းစားကြည့်နေတာ
Found!စ႕ဉ်းစားကြည့်ပါ	စ႕ဉ်းစားကြည့်ပါ
Found!စဥ်းစားထားတာ	စဉ်းစားထားတာ
Found!စဥ်စားမိတာ	စဉ်းစားမိတာ
Found!စဥ်စားလိုက်တာပေါ့	စဉ်းစားလိုက်တာပေါ့
Found!စဉ်စားသင့်ပြီ	စဉ်းစားသင့်ပြီ
Found!စည်းစညိးလုံးလုံး	စည်းစည်းလုံးလုံး
Found!စိတ် ကူးကောင် း	စိတ် ကူးကောင်း
Found!စိတ်ကုန်လေဘဲ့	စိတ်ကုန်လေပဲ
Found!စိတ်ဆင်းရဲ ရလွနး်လို့	စိတ်ဆင်းရဲ ရလွန်းလို့
Found!စိတ် ဖြင် ့	စိတ် ဖြင့်
Found!စိတ်မကောင်ဖြစ်ရပါတယ်	စိတ်မကောင်းဖြစ်ရပါတယ်
Found!စိတ်မချမ်းမြေ့	စိတ်မချမ်းမြေ့
Found!စုတ်ထုတ်နေတယ်လို	စုတ်ထုတ်နေတယ်လို့လည်း
Found!စမ် းသပ် ချင် သည် ့	စမ်းသပ် ချင် သည့်
Found!စမ်းသပ်မောင်နှင်မှု	စမ်းသပ်မောင်းနှင်မှု
Found!စုံစမ်းစစ်ဆွေးမယ့်	စုံစမ်းစစ်ဆေးမယ့်
Found!စုံစမ်းထောက်လှန်းမှု	စုံစမ်းထောက်လှမ်းမှု
Found!စုံးစမ်းမှုမျိုး	စုံစမ်းမှုမျိုး
Found!စုံစုံလျှင်လျှင်	စုံစုံလင်လင်
Found!စွဲချက်တင်နိ်ုင်သောကြောင့်	စွဲချက်တင်နိုင်သောကြောင့်
Found!စွန်းစွန်းလောင်	စွန်းစွန်းလောက်
Found!စွပ်ဆွဲထားပြီး	စွပ်စွဲထားပြီး
Found!ဆုတောင်းပေးကြပါအုံးဗျာ	ဆုတောင်းပေးကြပါဦးဗျာ
Found!ဆေးရုံတွေစီ	ဆေးရုံတွေဆီ
Found!ဆေးရုံသွားပြ ဘို ့	ဆေးရုံသွားပြဖို့
Found!ဆြော့ကတာဗျ	ဆော့ကြတာဗျ
Found!ဆိုတာ ကိုတ	ဆိုတာ ကိုက
Found!ဆိုတေ ာ့ 	ဆိုတော့
Found!ဆိုရှယ်လစ်နဲလဲ	ဆိုရှယ်လစ်နဲ့လဲ
Found!ဆက်လျှောက်ရမယ်	ဆက်လျှောက်ရမယ့်
Found!ဆက်သွယ်နိူင်ပါတယ်	ဆက်သွယ်နိုင်ပါတယ်
Found!ဆင်ဆင်ချင်ချင်	ဆင်ဆင်ခြင်ခြင်
Found!ဆင်ရဲခဲ့ပုံ	ဆင်းရဲခဲ့ပုံ
Found!ဆောင်ရွက် နိ်ုင်ခြေရှိတဲ့ 	ဆောင်ရွက် နိုင်ခြေရှိတဲ့ 
Found!ဆောင်ရွှက်ပါတယ် 	ဆောင်ရွက်ပါတယ် 
Found!ဆုံးမ မှာလည်း	ဆုံးမ မှာလဲ
Found!ဆုံးရှုံးနစ်နစ်	ဆုံးရှုံးနစ်နာ
Found!ဆေးွနွေးနေကြသော	ဆွေးနွေးနေကြသော
Found!ဆွေးနွေးပွဲလေ	ဆွေးနွေးပွဲလေး
Found!ဇူလိ်ုင်လ	ဇူလိုင်လ
Found!ဇောတ်ကားများကို	ဇာတ်ကားများကို
Found!ဇွတ်ကြီးပါဟယ်လ်	ဇွတ်ကြီးပါဟယ်
Found!ဈေးလျော့ချင်လျော့	ဈေးလျှော့ချင်လျှော့
Found!ညိုည်ိုသင်း	ညိုညိုသင်း
Found!ညင်းပနး်နှိပ်စက်	ညင်းပန်းနှိပ်စက်
Found!ညစ်ပါတ်တဲ့	ညစ်ပတ်တဲ့
Found!ညှိခဲ့တာ်တွေ	ညှိခဲ့တာတွေ
Found!ညွှိနှိုင်းဆွေးနွေး	ညှိုနှိုင်းဆွေးနွေး
Found!ညှိးငယ်စွာဖြင့်	ညှိုးငယ်စွာဖြင့်
Found!ညွန်ကြားရေးမှူး	ညွှန်ကြားရေးမှူး
Found!တစ်ချို့ကြ	တချို့ကျ
Found!တရိူက်မတ်မတ်	တစိုက်မတ်မတ်
Found!တနလာၤနေ့	တနင်္လာနေ့
Found!တနိုင်ငတပိုင်	တနိုင်တပိုင်
Found!တဖက်နိုင်ငံဖက်	တဖက်နိုင်ငံဘက်
Found!တဖြည်းြ်ဖည်းချင်း	တဖြည်းဖြည်းချင်း
Found!တရားပွဲပြိးတော့	တရားပွဲပြီးတော့
Found!တရားမဝင်သတ်ဖြတ်ခြငး် 	တရားမဝင်သတ်ဖြတ်ခြင်း
Found!တရားအားထုတိခြင်းဟာ	တရားအားထုတ်ခြင်းဟာ
Found!တလက်ဆတည်းမှာပဲ	တလက်စတည်းမှာပဲ
Found!တာဝန်ရှိ်သူတွေ	တာဝန်ရှိသူတွေ
Found!တာဆီးကာကွယ်	တားဆီးကာကွယ်
Found!ရတော့ပါသေးတယ်	တော့ရပါသေးတယ်
Found!တော်တော်လေးတော	တော်တော်လေးတော့
Found!တော်တယ်ဘဲ	တော်တယ်ပဲ
Found!တော်ဘာဒေါ့အေ	တော်ပါတော့အေ
Found!တော်ဝင်အမိန်	တော်ဝင်အမိန့်
Found!တိုးမြင့်လာပါတယ်	တိုးမြှင့်လာပါတယ်
Found!တက္ကသိ်ုလ်	တက္ကသိုလ်
Found!တ်တတ်ကြွကြွ	တက်တက်ကြွကြွ
Found!တက်သွားခဲ့ပါပြီး	တက်သွားခဲ့ပြီး
Found!တိ်ုက်ခိ်ုက်	တိုက်ခိုက်
Found!တိုက်ခိိုက်မှုအတွင်း	တိုက်ခိုက်မှုအတွင်း
Found!တိုက်တိုက်ချက်	တိုက်တွန်းချက်
Found!တိုက်တွန်းနေပါတယ။်	တိုက်တွန်းနေပါတယ်
Found!တင်အောင်မြင့့်ဦး	တင်အောင်မြင့်ဦး
Found!တောင်ကိုရီးား	တောင်ကိုရီးယား
Found!တောင်ကိုးရီးယား	တောင်ကိုရီးယား
Found!တောက်မှန်းမြောက်မှန်ူမသိပံ	တောင်မှန်းမြောက်မှန်းမသိပဲ
Found!တောင်ပန်လို့	တောင်းပန်လို့
Found!တောင်ပန်အပ်ပါတယ်	တောင်းပန်အပ်ပါတယ်
Found!တို်ုင်တောင်	တိုင်တောင်
Found!တိ်ုင်ပင်ကြပါတယ်	တိုင်ပင်ကြပါတယ်
Found!တိုင်ပြည်ချစ်စိတ်	တိုင်းပြည်ချစ်စိတ်
Found!တခုရှိပေမဲ့	တစ်ခုရှိပေမယ့်
Found!တဒါဇင်ကျော်	တစ်ဒါဇင်ကျော်
Found!တနိုင်ငံလုံးကို	တစ်နိုင်ငံလုံးကို
Found!တနိုင်ငံလုံး	တစ်နိုင်ငံလုံး
Found!တပွဲလုံး 	တစ်ပွဲလုံး 
Found!တယောက်ချင်းစီ 	တစ်ယောက်ချင်းစီ 
Found!တယောက်တည်းသော	တစ်ယောက်တည်းသော
Found!တလိုင်ချင်းစီ	တစ်လိုင်းချင်းစီ
Found!တသီးပုဂ္ဂလ	တစ်သီးပုဂ္ဂလ
Found!တဦးတည်းပိုင်	တစ်ဦးတည်းပိုင်
Found!တဦးတည်းသော 	တစ်ဦးတည်းသော 
Found!တည်ဆောကြ်က	တည်ဆောက်ကြ
Found!တည်းဆောက်ထားပါတယ်	တည်ဆောက်ထားပါတယ်
Found!တည်ထည်ဆိုတာ	တည်တယ်ဆိုတာ
Found!တန်ဖိုးမဖြတ်နိူင်	တန်ဖိုးမဖြတ်နိုင်
Found!တေကိုတိုင်	တွေကိုယ်တိုင်
Found!တွေ ့ခဲ့တဲ့ 	တွေ့ခဲ့တဲ့ 
Found!တွေ ့ဆုံ 	တွေ့ဆုံ 
Found!တွေနေရတော့	တွေ့နေရတော့
Found!တွေးလိမ် ့မယ် 	တွေးလိမ့်မယ် 
Found!တွက်ကြ်ည့် တော့ 	တွက်ကြည့် တော့ 
Found!ထိခိ်ုင်နဟ်နာနိုင်ခြင်း	ထိခိုက်နစ်နာနိုင်ခြင်း
Found!ထူးထောင်ရေး	ထူထောင်ရေး
Found!ထိုးဖောက် ခြငး် 	ထိုးဖောက် ခြင်း
Found!ထောက်ခံထာပါတယ်	ထောက်ခံထားပါတယ်
Found!ထာင်ကျော်ရှိ	ထောင်ကျော်ရှိ
Found!ထောင်ပေါင်းများစွာသူ	ထောင်ပေါင်းများစွာသောသူ
Found!ထည် ့ထားသည် 	ထည့်ထားသည် 
Found!ထုန်ပြန်လိုက်တယ်	ထုတ်ပြန်လိုက်တယ်
Found!ထုတ်လုပ်နိူင်ပါသေးတယ်	ထုတ်လုပ်နိုင်ပါသေးတယ်
Found!ထုတ် လုပ် ရောင် းခြင် း	ထုတ် လုပ် ရောင်းခြင်း
Found!ထိန်းချုပ်နိ်ုင်တာ	ထိန်းချုပ်နိုင်တာ
Found!ထိန်းချုပ်နိ်ုင်တာမျိုး	ထိန်းချုပ်နိုင်တာမျိုး
Found!ထိန်းဆင်းပါတယိ	ထိန်းဆင်းပါတယ်
Found!ထိမ်းမ နိမ်တဲ့	ထိန်းမ နိုင်တဲ့
Found!ထပ်တက်နေအုံးမှာ	ထပ်တက်နေဦးမှာ
Found!ထပ်မံင်ပေါ်ချင်သေးသည် 	ထပ်မံပေါ်ချင်သေးသည် 
Found!ထွန်းအိန္ဒြဗို	ထွန်းအိန္ဒြာဗိုလ်
Found!ဒီဇိုင်းမျ ို း 	ဒီဇိုင်းမျိုး 
Found!ဒီမိုကရေစိီ	ဒီမိုကရေစီ
Found!ဒီမိုခရေဇီး	ဒီမိုကရေစီ
Found!ဒေါသလည်းမထွက်ချင်ပု	ဒေါသလည်းမထွက်ချင်ဘူး
Found!ဒေါသသံပါမှာဆိုး	ဒေါသသံပါမှစိုး
Found!ဒေါ်အောင်ဆနး်စုကြည်	ဒေါ်အောင်ဆန်းစုကြည်
Found!ဒေါ်အောင်ဆန်စုကြည်	ဒေါ်အောင်ဆန်းစုကြည်
Found!ဒုက္မြသည်တွေ	ဒုက္ခသည်တွေ
Found!ဒဿဂီိရိ	ဒဿဂီရိ
Found!ဓါတ်ပုံတေ ွ	ဓာတ်ပုံတွေ
Found!ဓာတ်ပုံရိုက်မဲ့	ဓာတ်ပုံရိုက်မယ့်
Found!ဓမ်္မိယလဒ္ဓ	ဓမ္မယိလဒ္ဓ
Found!နဂိုလ်အတိုင်း	နဂိုအတိုင်း
Found!နမူနာကွဲ ့.	နမူနာကွယ့်
Found!နံမည်ပျက်ဖို့	နာမည်ပျက်ဖို့
Found!ဝ၀း၃၀ နာရီ	၀၀:၃၀ နာရီ
Found!နာညးထောင်နေစဉ်	နားထောင်နေစဉ်
Found!နားလည်းကြရဲ့လား	နားလည်ကြရဲ့လား
Found!နားလည်ခဲ့၇တယ်	နားလည်ခဲ့ရတယ်
Found!နိဂုန်းချုပ်ရရင်	နိဂုံးချုပ်ရရင်
Found!နေကောင်အောင်လုပ်ပီး	နေကောင်းအောင်လုပ်ပြီး
Found!နေထိ်ုင်နေတဲ့	နေထိုင်နေတဲ့
Found!နေရာရွှေ ့ပြောင်းမှုတွေ	နေရာရွှေ့ပြောင်းမှုတွေ
Found!နက်နက်ရိူင်းရိူင်း	နက်နက်ရှိင်းရှိင်း
Found!နောက်ဆုံ့းတော့ 	နောက်ဆုံးတော့ 
Found!နောက်နေတာဘဲ့	နောက်နေတာပဲ
Found!နိူင်င ံခြား	နိုင်ငံခြား
Found!နိုင်ငံခြာူ	နိုင်ငံခြား
Found!နို်ုင်ငံ	နိုင်ငံ
Found!နိုင်ယှည်သင်ု့ပီး	နိုင်းယှဉ်သင့်ပြီး
Found!နည်းဘဲသုံးနေကြဆဲပါ	နည်းပဲသုံးနေကြဆဲပါ
Found!နှမျှော်တာပါဟာ	နှမျောတာပါဟာ
Found!နှာခေါင်းရူံ့	နှာခေါင်းရှုံ့
Found!နှာဘူးထတက်တဲ့	နှာဘူးထတတ်တဲ့
Found!နှိူင်းယှဉ်သုံးသပ်ပါ	နှိုင်းယှဉ်သုံးသပ်ပါ
Found!နှတ်ထွက်တယ်လို့ 	နှုတ်ထွက်တယ်လို့ 
Found!နှိမ်းနှင်းတာတော့	နှိမ်နင်းတာတော့
Found!ပညာရေးစနစေ်	ပညာရေးစနစ်
Found!ပြင်ညာရှင်တွေ	ပညာရှင်တွေ
Found!ပထမဉီးဆုံး	ပထမဦးဆုံး
Found!ပဒေသရာဇာ်	ပဒေသရာဇာ
Found!ပြိတ်သတ်ကြီး	ပရိသတ်ကြီး
Found!ပြိန်သတ်ဂျီးများ	ပရိသတ်ကြီးများ
Found!ပီတြိဖစ်ပီး 	ပီတိဖြစ်ပြီး 
Found!ပုဂံခောက်	ပုဂံခေတ်
Found!ပူးပေါင်းဆောင်ရွကိ်ု့	ပူးပေါင်းဆောင်ရွက်ဖို့
Found!ပေးထားကောငး် 	ပေးထားကောင်း
Found!ပေးနိူင်မယ်ဆိုရင်	ပေးနိုင်မယ်ဆိုရင်
Found!ပေယုံပဲလေ	ပေးရုံပဲလေ
Found!ပေးလိ်ုက်ချင်	ပေးလိုက်ချင်
Found!ပေးသွားနိ်ုင်	ပေးသွားနိုင်
Found!ပိုတိုးမြင့်ပြီး	ပိုတိုးမြှင့်ပြီး
Found!ပိုဆောင်သူ	ပို့ဆောင်သူ
Found!ပေါက်ခဲ့ပါရဲ ့လား	ပေါက်ခဲ့ပါရဲ့လား
Found!ပိုက်ဆံရ ဒါက	ပိုက်ဆံရ တာက
Found!ပုဂ်္ဂိုလ်	ပုဂ္ဂိုလ်
Found!ပုဂ်္ဂိုလ်များ	ပုဂ္ဂိုလ်များ
Found!ပင်လယ်ကူး ် 	ပင်လယ်ကူး 
Found!ပင်လာ်ကမ်းခြေ	ပင်လယ်ကမ်းခြေ
Found!ပင်လယ်လှိ်ုင်း	ပင်လယ်လှိ်ုင်း
Found!ပေါက်းစုံရှိတတ်တယ်	ပေါင်းစုံရှိတတ်တယ်
Found!ပြစ်တာဘဲဟား	ပစ်တာဘဲဟာ
Found!ပြစ်တဲ့ အမြောက်ရဲ ့	ပစ်တဲ့ အမြောက်ရဲ့
Found!ပြစ်ထည့်လိုက်မယ်	ပစ်ထည့်လိုက်မယ်
Found!ပတ်ဝယ်လိူက်ရသေးတယ်	ပတ်ဝယ်လိုက်ရသေးတယ်
Found!ပိတ်ဆိုမူ	ပိတ်ဆို့မှု
Found!ပိတ်ပင်ထားစဲရှိလား	ပိတ်ပင်ထားဆဲရှိလား
Found!ပိတ်ပင်လိ်ုက်တာဟာ	ပိတ်ပင်လိုက်တာဟာ
Found!ပိတ် ပင် လိမ် ့မယ်	ပိတ် ပင် လိမ့်မယ်
Found!ပိ်တ်မိနေ	ပိတ်မိနေ
Found!ပုတ်ခတ်နိူင်ကြပါစေ 	ပုတ်ခတ်နိုင်ကြပါစေ 
Found!ပုံစနုံ်	ပုံစံ
Found!ပုံသဏာန်	ပုံသဏ္ဌာန်
Found!ပျက်ဆီးလာပြီး	ပျက်စီးလာပြီး
Found!ပျောက်လိမ့့်မယ်	ပျောက်လိမ့်မယ်
Found!ပြခွ ွင့်ရကြတယ်	ပြခွင့်ရကြတယ်
Found!ပြီးပြည့်စုအောင် 	ပြီးပြည့်စုံအောင် 
Found!ပြုပြင် နိုင် စွမ် းရှိခြင် း	ပြုပြင် နိုင် စွမ်းရှိခြင်း
Found!ပြုပြင်ဘို့	ပြုပြင်ဖို့
Found!ပြုလုပ် နေသည် ့ 	ပြုလုပ် နေသည့်
Found!ပြောဆိုခြ့သလို	ပြောဆိုခဲ့သလို
Found!ပြောဆိုလိ်ုက်တာပါ။	ပြောဆိုလိုက်တာပါ။
Found!ပြောပြိုက်	ပြောပလိုက်
Found!ပြောပြသင် ့သည် ့	ပြောပြသင့်သည့်
Found!ပြောလက်မှဖြင့်	ပြောလိုက်မှဖြင့်
Found!ပြောလိုက်သေတယ် 	ပြောလိုက်သေးတယ် 
Found!ပြောသင့်ဆယ်﻿	ပြောသင့်တယ်
Found!ပျိုကြတာ	ပြိုကြတာ
Found!ပြင်ပီးသလောက်	ပြင်ပြီးသလောက်
Found!ပြောင် းလိုက် သည် 	ပြောင်းလိုက် သည် 
Found!ပြစ်တင် ရှု ံ့ချ	ပြစ်တင် ရှုံ့ချ
Found!ပြည်သူ ့ဆေးရုံကြီး	ပြည်သူ့ဆေးရုံကြီး
